MA,std,MA_grad,MA_grad_mean,basic_signal,price,signal1,signal2
1595.0260000000003,9.100910064383656,-4.22526242450616,-10.988613184241984,6.7633507597358244,1603.93,-10.988613184241984,-4.22526242450616
1595.055,9.106642355994868,-3.7478400967361214,-10.17725297897264,6.429412882236518,1597.13,-10.17725297897264,-3.7478400967361214
1595.2355,9.201677279170344,-3.509689203387567,-9.424774463860825,5.9150852604732576,1601.77,-9.424774463860825,-3.509689203387567
1596.0525000000002,9.087857214437282,-2.413878991658569,-8.65467193930466,6.24079294764609,1602.54,-8.65467193930466,-2.413878991658569
1597.0665000000001,8.893930669282273,-1.0623825265124731,-7.844438685333562,6.782056158821089,1604.98,-7.844438685333562,-1.0623825265124731
1598.5629999999999,6.887438638565124,0.9060080795633141,-6.948609524386652,7.854617603949966,1602.2,-6.948609524386652,0.9060080795633141
1600.2415,4.5487089102293705,2.93753676229791,-5.9629395796361,8.90047634193401,1608.22,-5.9629395796361,2.93753676229791
1602.1735000000003,7.693234219104474,4.369033678451206,-4.974757646177314,9.34379132462852,1630.49,-4.974757646177314,4.369033678451206
1604.1245000000004,10.050830550258036,5.725734047569153,-3.992888765441465,9.718622813010619,1633.38,-3.992888765441465,5.725734047569153
1606.654,12.588404744049187,7.628771582135929,-2.9805007836590356,10.609272365794965,1642.04,-2.9805007836590356,7.628771582135929
1609.1935,14.409684339013126,9.343300105532304,-1.9554174660213577,11.298717571553661,1643.0,-1.9554174660213577,9.343300105532304
1610.6730000000002,15.292511925775957,10.160096784329387,-0.9697600227145713,11.129856807043957,1633.59,-0.9697600227145713,10.160096784329387
1612.6145000000001,16.555774060731807,11.4192889835254,0.013849888807815259,11.405439094717584,1641.42,0.013849888807815259,11.4192889835254
1614.4325000000001,17.183678556991225,12.629704502987948,0.9960076996478605,11.633696803340088,1637.53,0.9960076996478605,12.629704502987948
1616.64,17.86253453460622,14.114829384388905,2.004985224747297,12.109844159641607,1643.0,2.004985224747297,14.114829384388905
1618.6235,18.16241373689081,15.2428478195894,3.002696265712701,12.2401515538767,1640.19,3.002696265712701,15.2428478195894
1620.6245000000001,18.201592917928913,16.51259158808727,4.0598277763289,12.452763811758368,1639.99,4.0598277763289,16.51259158808727
1622.3870000000002,17.82382789975262,17.70395015820214,5.194734193836669,12.50921596436547,1635.27,5.194734193836669,17.70395015820214
1623.863,17.499995457142262,18.457652827791104,6.366740425052215,12.09091240273889,1634.01,6.366740425052215,18.457652827791104
1625.516,16.9647874728804,19.329443970824478,7.576086851623748,11.75335711920073,1635.64,7.576086851623748,19.329443970824478
1627.1299999999999,16.359074851592304,20.127571588174575,8.793728552257784,11.333843035916791,1636.21,8.793728552257784,20.127571588174575
1628.9904999999999,14.891510156797398,21.275441912661286,10.044892652727654,11.230549259933632,1634.34,10.044892652727654,21.275441912661286
1630.779,13.607544194306332,22.28103624825306,11.334428925309684,10.946607322943375,1637.54,11.334428925309684,22.28103624825306
1632.4935,12.007681822483462,22.831955715742367,12.596720660679733,10.235235055062635,1636.83,12.596720660679733,22.831955715742367
1634.2855,10.324245965202484,23.30460253220501,13.815069913615606,9.489532618589404,1640.82,13.815069913615606,23.30460253220501
1636.1505000000002,7.279932331416268,23.51330538740126,14.945434779007504,8.567870608393756,1639.5,14.945434779007504,23.51330538740126
1638.73,5.943614220320822,24.05168219921805,16.001142050853513,8.050540148364536,1659.81,16.001142050853513,24.05168219921805
1640.1060000000002,6.9731064813323975,23.67565060837662,16.96647289734978,6.70917771102684,1658.01,16.96647289734978,23.67565060837662
1640.6485,6.84969508445449,22.76880628654432,17.818626509298536,4.950179777245783,1644.23,17.818626509298536,22.76880628654432
1640.4334999999999,6.870098452715214,21.02475081753741,18.488425471068616,2.536325346468793,1637.74,18.488425471068616,21.02475081753741
1639.9135,7.047460021170751,19.090308281757284,18.975775879879865,0.11453240187741898,1632.6,18.975775879879865,19.090308281757284
1639.4495,7.721756584482579,17.866134218428975,19.36107775158484,1.4949435331558654,1624.31,19.36107775158484,17.866134218428975
1638.4810000000002,8.580822746100756,16.040101338540723,19.592118369335612,3.5520170307948895,1622.05,19.592118369335612,16.040101338540723
1637.7419999999997,9.24188270862599,14.438200420271219,19.68254316519977,5.244342744928552,1622.75,19.68254316519977,14.438200420271219
1636.958,9.42583237703706,12.568042359461629,19.605203813953413,7.037161454491784,1627.32,19.605203813953413,12.568042359461629
1636.5044999999998,9.477471959863566,11.047040896168703,19.395413467782376,8.348372571613673,1631.12,19.395413467782376,11.047040896168703
1636.181,9.463389931731658,9.599077392696387,19.04973775801283,9.450660365316445,1633.52,19.04973775801283,9.599077392696387
1635.846,9.607205316844235,8.295801186769758,18.57933030944121,10.283529122671453,1628.57,18.57933030944121,8.295801186769758
1635.7644999999998,9.629323171957626,7.329128134577756,18.02290407478054,10.693775940202785,1632.38,18.02290407478054,7.329128134577756
1635.506,9.698342848136482,6.145740798614074,17.363718916170022,11.217978117555948,1630.47,17.363718916170022,6.145740798614074
1635.3235,9.717701001265684,5.035553397700232,16.609118006646305,11.573564608946073,1632.56,16.609118006646305,5.035553397700232
1634.9865000000002,9.86176468741777,3.6808072238605494,15.72938627220627,12.04857904834572,1627.6,15.72938627220627,3.6808072238605494
1634.437,10.009253768388538,2.2430997701097244,14.727489448299105,12.48438967818938,1626.55,14.727489448299105,2.2430997701097244
1634.014,10.077714721106178,0.9313972766200607,13.632461526342984,12.701064249722924,1628.37,13.632461526342984,0.9313972766200607
