judge,Insid,pos,posSide,avgPx,cTime,uTime,clOrdId_list
True,ETH-USDT-SWAP,1.0,long,1535.23,,,
False,ETH-USDT-SWAP,0.0,,0.0,,,
True,ETH-USDT-SWAP,-1.0,short,1535.0,,,
False,ETH-USDT-SWAP,0.0,,0.0,,,
