MA,std,MA_grad,MA_grad_mean,basic_signal,price
1595.0260000000003,9.337336710331538,-4.22526242450616,-10.988613184241984,6.7633507597358244,1603.93
1595.055,9.343217917432481,-3.7478400967361214,-10.17725297897264,6.429412882236518,1597.13
1595.2355,9.440721691302594,-3.509689203387567,-9.424774463860825,5.9150852604732576,1601.77
1596.0525000000002,9.32394476885354,-2.413878991658569,-8.65467193930466,6.24079294764609,1602.54
1597.0665000000001,9.124980331629837,-1.0623825265124731,-7.844438685333562,6.782056158821089,1604.98
1598.5629999999999,7.066362944482663,0.9060080795633141,-6.948609524386652,7.854617603949966,1602.2
1600.2415,4.666876871832187,2.93753676229791,-5.9629395796361,8.90047634193401,1608.22
1602.1735000000003,7.893091766321925,4.369033678451206,-4.974757646177314,9.34379132462852,1630.49
1604.1245000000004,10.311934565040861,5.725734047569153,-3.992888765441465,9.718622813010619,1633.38
1606.654,12.915430754680521,7.628771582135929,-2.9805007836590356,10.609272365794965,1642.04
1609.1935,14.784024192207939,9.343300105532304,-1.9554174660213577,11.298717571553661,1643.0
1610.6730000000002,15.689786184850183,10.160096784329387,-0.9697600227145713,11.129856807043957,1633.59
1612.6145000000001,16.985865788323757,11.4192889835254,0.013849888807815259,11.405439094717584,1641.42
1614.4325000000001,17.630082208662856,12.629704502987948,0.9960076996478605,11.633696803340088,1637.53
1616.64,18.326573745879447,14.114829384388905,2.004985224747297,12.109844159641607,1643.0
1618.6235,18.634243315663994,15.2428478195894,3.002696265712701,12.2401515538767,1640.19
1620.6245000000001,18.674440307261516,16.51259158808727,4.0598277763289,12.452763811758368,1639.99
1622.3870000000002,18.286861576437584,17.70395015820214,5.194734193836669,12.50921596436547,1635.27
1623.863,17.9546165006165,18.457652827791104,6.366740425052215,12.09091240273889,1634.01
1625.516,17.4055046949007,19.329443970824478,7.576086851623748,11.75335711920073,1635.64
1627.1299999999999,16.78405665787436,20.127571588174575,8.793728552257784,11.333843035916791,1636.21
1628.9904999999999,15.27836705073033,21.275441912661286,10.044892652727654,11.230549259933632,1634.34
1630.779,13.961045768400316,22.28103624825306,11.334428925309684,10.946607322943375,1637.54
1632.4935,12.319621608594442,22.831955715742367,12.596720660679733,10.235235055062635,1636.83
1634.2855,10.592452861900245,23.30460253220501,13.815069913615606,9.489532618589404,1640.82
1636.1505000000002,7.469052976677897,23.51330538740126,14.945434779007504,8.567870608393756,1639.5
1638.73,6.098019523194646,24.05168219921805,16.001142050853513,8.050540148364536,1659.81
1640.1060000000002,7.154256296631721,23.67565060837662,16.96647289734978,6.70917771102684,1658.01
1640.6485,7.027638875034397,22.76880628654432,17.818626509298536,4.950179777245783,1644.23
1640.4334999999999,7.048572289179522,21.02475081753741,18.488425471068616,2.536325346468793,1637.74
1639.9135,7.230541418906772,19.090308281757284,18.975775879879865,0.11453240187741898,1632.6
1639.4495,7.922355095750125,17.866134218428975,19.36107775158484,1.4949435331558654,1624.31
1638.4810000000002,8.80373838057926,16.040101338540723,19.592118369335612,3.5520170307948895,1622.05
1637.7419999999997,9.481971591560376,14.438200420271219,19.68254316519977,5.244342744928552,1622.75
1636.958,9.670699969223373,12.568042359461629,19.605203813953413,7.037161454491784,1627.32
1636.5044999999998,9.723681063314077,11.047040896168703,19.395413467782376,8.348372571613673,1631.12
1636.181,9.709233207297284,9.599077392696387,19.04973775801283,9.450660365316445,1633.52
1635.846,9.85678467911958,8.295801186769758,18.57933030944121,10.283529122671453,1628.57
1635.7644999999998,9.879477119660475,7.329128134577756,18.02290407478054,10.693775940202785,1632.38
1635.506,9.950289813287908,6.145740798614074,17.363718916170022,11.217978117555948,1630.47
1635.3235,9.970150859334819,5.035553397700232,16.609118006646305,11.573564608946073,1632.56
1634.9865000000002,10.117957082648449,3.6808072238605494,15.72938627220627,12.04857904834572,1627.6
1634.437,10.26927768689339,2.2430997701097244,14.727489448299105,12.48438967818938,1626.55
1634.014,10.339517142344816,0.9313972766200607,13.632461526342984,12.701064249722924,1628.37
1632.943,10.70049979157393,-0.8214598979187082,12.4261584048368,13.247618302755509,1619.4
1632.0194999999999,10.899979466421993,-2.524828858959105,11.124251692518783,13.649080551477887,1621.03
1630.08,8.976065836140961,-5.278477845648832,9.657743690275439,14.936221535924272,1621.02
1628.4945,6.133397337099307,-7.079725334826037,8.119974893115305,15.199700227941342,1626.3
1627.7589999999998,4.906382416919066,-7.856344610073562,6.588717348284412,14.445061958357975,1629.52
1627.696,4.777883697996311,-7.7647158510234515,5.149244014856369,12.913959865879821,1636.48
1627.7034999999998,4.7860974927937185,-7.445514656718388,3.822452867932585,11.267967524650974,1632.75
1628.2315,4.970942169511884,-6.84254074309687,2.587019119856293,9.429559862953163,1634.87
1629.1785,5.50658579387111,-5.6775147224779055,1.5011383168053618,7.178653039283267,1640.99
1629.8215,5.467111500408115,-4.83623183627202,0.5374167039781996,5.37364854025022,1635.61
1630.624,6.208318189078417,-3.869372335759458,-0.2844540307828547,3.584918304976603,1643.37
1631.151,6.681922903192649,-3.2713017287759882,-1.000371162030089,2.270930566745899,1641.66
1630.8625,6.698797122971913,-3.2505572427501406,-1.6428528938024158,1.6077043489477247,1627.75
1630.8065000000001,6.72360592085432,-3.080668962726185,-2.211676401277213,0.8689925614489722,1627.45
1629.4370000000001,8.841992571337002,-3.8682218620098574,-2.771543901106593,1.0966779609032642,1604.99
1628.5435000000002,9.602320045861719,-4.2570923004867645,-3.2916855560616356,0.9654067444251289,1612.6
1627.195,10.824553716338368,-4.970576158172979,-3.7919920338552955,1.1785841243176836,1605.59
